log_copies_per_extraction	Sample_ID	DNA_concentration	type	unclassified	k__Bacteria	k__Archaea	k__Eukaryota	bac_frac	alpha	Sample_type
NA	PD093	142.89	external	13.88418	86.11581536478884	0	0	0.9621258496555433	4.03738058936743	next_day
NA	NC01	1.78	external	74.21068	25.789317747701773	0	0	0.9531130729511779	0.7312811252092646	next_day
NA	NC02	1.99	external	74.51947	25.480533200655724	0	0	0.9202986172048377	0.772509509259298	next_day
NA	NC03	2.58	external	58.18387	41.55551283694224	0.2606148340969848	0	0.9384489286692729	1.6933916005663585	next_day
NA	NC04	0.95	external	72.35849	27.64150696555322	0	0	0.8257861261081653	0.7548263486581253	next_day
NA	NC05	1.66	external	74.45647	25.54353381120982	0	0	0.9330897481453	0.7681788295267276	next_day
NA	NC06	1.49	external	72.50193	27.498071935924823	0	0	0.936905316249169	0.7679039393115071	next_day
NA	NC07	1.02	external	75.0637	24.936302891893007	0	0	0.9281518694953953	0.7368680107293738	next_day
NA	NC08	0.54	external	72.57922	27.420781691867564	0	0	0.9436486725053495	0.7554818516602491	next_day
NA	NC09	0.82	external	74.93357	25.066434234131734	0	0	0.9265489212216124	0.7587579828207168	next_day
9.467384113517772	PC01	57.69	external	3.60377	96.0429424781936	0	0.3532922000959311	0.9745473193255884	1.943533203917647	next_day
9.466721004407344	PC02	61.53	external	3.78975	95.8287364138987	0	0.3815121195344759	0.9721927803333801	1.9444780116719251	next_day
9.41616854684858	PC03	44	external	2.85558	96.74207782079785	0	0.4023430479119352	0.972352272170476	1.9296464228163577	next_day
9.376388637888393	PC04	46.5	external	3.72797	95.86917362008244	0	0.4028599516844156	0.9728100877422589	1.9494757375723066	next_day
9.382352330834275	PC05	42.57	external	2.81591	96.87375675768406	0	0.3103379696929329	0.9742757069733642	1.925630672760754	next_day
9.45177618425383	PC06	49.13	external	2.94123	96.6907510982051	0	0.3680177337802388	0.9753267917701381	1.9345121284663862	next_day
9.407170575367193	PC07	47.49	external	2.67734	96.96090240623305	0	0.361758061223583	0.9761659479619814	1.9122315348419359	next_day
9.393353561379387	PC08	47.3	external	2.75785	96.84700308616232	0	0.3951434625004913	0.9767259162746652	1.9370760945542582	next_day
9.23771813538752	PC09	40.19	external	2.47018	97.15863071993904	0	0.3711887398821333	0.9943649596753531	1.8705984620410714	next_day
9.217994828685253	PD021	41.38	external	4.85693	95.1430715174888	0	0	0.9285499625397472	3.6197250861648778	next_day
10.00628977058719	PD049	213.7	external	5.52514	94.4748624627459	0	0	0.929091202609541	3.97250198358813	next_day
9.83189136023677	PD172	175.2	external	9.48343	90.51657416485884	0	0	0.9198466138160611	3.734506184247376	next_day
10.12227138089327	PD089	191.2	external	6.95115	93.04885243894654	0	0	0.9242403158954444	4.050544124284707	next_day
9.969513927748531	PD163	170	external	5.97146	94.0285401873694	0	0	0.9482251327429057	3.8889951108376275	next_day
9.373644035415841	PD034	69.05	external	14.37946	84.17573208616687	1.4448124406726055	0	0.9405604451437821	3.7954603137646794	next_day
9.69874994735953	PD026	96.87	external	5.09433	94.73361379364492	0.0452415320689182	0.1268129539552939	0.9070194637732016	4.070010769888219	next_day
9.584058294756213	PD076	83.88	external	6.32822	93.67177881875944	0	0	0.9086041481926215	3.4983758486116585	next_day
9.162491120012076	PD129	50.13	external	7.38338	92.61661893610528	0	0	0.8862437597578345	3.6538192616620835	next_day
8.352384950618916	PD133	4.78	external	13.60194	86.39806466737855	0	0	0.9409638506834008	3.781949623560808	next_day
8.7983979808596	PD106	16.78	external	13.81602	85.17279581361257	1.0111793437260224	0	0.926987764401824	3.9644718796869705	next_day
7.659714308033126	PD179	2.62	external	4.01137	95.98862862932732	0	0	0.8027205503171778	2.91460906957785	next_day
9.401715321572471	PD072	55.03	external	11.72302	88.2769757327642	0	0	0.9260508740041434	3.4904901020450727	next_day
9.509820878641309	PD160	72.45	external	11.95567	87.23222630238527	0.8121032872690537	0	0.8998969150187739	4.321819585081526	next_day
9.289195572593416	PD052	48.37	external	15.65595	83.34594167789761	0.9981106463952164	0	0.9648102455474168	4.156349996833867	next_day
9.466655384694977	PD018	66.88	external	8.38711	91.18751737918444	0.4253769911402918	0	0.9442034924707559	4.232404976607403	next_day
9.25447999203126	PD058	44.38	external	12.02223	87.845397869386	0.1323713515698501	0	0.9247636510962002	3.7038103558540314	next_day
9.250028692279308	PD141	53.21	external	3.55581	96.44419377764308	0	0	0.9318720542476184	3.7306939372190233	next_day
9.895336682893868	PD109	142	external	8.9308	91.06920456731106	0	0	0.9101436775801269	4.2181429888411675	next_day
9.102255768254564	PD063	32.81	external	14.09841	83.2511412579111	2.650450668080508	0	0.9246964957630505	3.7627820365570663	next_day
9.402848496451446	PD111	62.52	external	9.84926	88.76619787550962	1.3845441104952614	0	0.9531898593270908	3.7423488768433852	next_day
10.112928822404152	PD135	264.8	external	3.56225	96.20514546613452	0.232607861025109	0	0.9154633921679408	4.333482176505423	next_day
8.960261954426528	PD161	26.39	external	4.19556	95.8044417705751	0	0	0.918984205446095	3.7012248666998926	next_day
8.833929604327082	PD017	19.26	external	18.05531	80.8720054988393	1.0726888265977004	0	0.9181308156372695	4.13299155876086	next_day
8.856968060117552	PD011	20.06	external	12.24281	87.75718743042974	0	0	0.9498403225623472	3.805312142606743	next_day
9.126634552877224	PD192	29.81	external	14.41538	85.58461647472005	0	0	0.9195996539262924	3.129189104724305	next_day
8.98302813640597	PD067	24.85	external	10.73007	87.91048417599495	1.359447149185511	0	0.9292298036395091	3.879917011754226	next_day
